"Product ID","Label","Type","Price","Benefit ID","Benefit Label","Period ID","Period Label","Include For Payments","Exclude For Payments","Total Payments","Commissionable Amount","Is Display Online","Display Start","Display Stop","State","First 3 of Zipcode","Full Zipcode","Member Age Minimum","Member Age Maximum","Member Smoker","Member Gender","Member Height Minimum","Member Height Maximum","Member Weight Minimum","Member Weight Maximum","Has Spouse","Spouse Age Minimum","Spouse Age Maximum","Spouse Smoker","Spouse Gender","Spouse Height Minimum","Spouse Height Maximum","Spouse Weight Minimum","Spouse Weight Maximum","Child Count Minimum","Child Count Maximum"
42463,ESSENTIALS,Enrollment Fee,25.00,,,7,One-Time,1,,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42463,ESSENTIALS,Product,49.95,449,Member Only,1,Monthly,,1,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42463,ESSENTIALS,Product,59.95,145,Member plus One (Spouse or Child),1,Monthly,,1,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42463,ESSENTIALS,Product,69.95,3391,Member + Family,1,Monthly,,1,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Tobacco Use,50.00,,,1,Monthly,,1,,,Yes,,,Default,,,,,Yes,,,,,,No,,,No,,,,,
42464,CARE PLUS,Annual Membership,25.00,9493,$25 Annual Membership Fee,5,Annual,"13, 25, 37, 49, 61, 73, 85, 97",,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,245.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,273.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,352.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,185.00,3279,Member Only - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,205.00,3279,Member Only - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,300.00,3279,Member Only - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,160.00,3278,Member Only - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,185.00,3278,Member Only - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,235.00,3278,Member Only - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,435.00,3283,Member + Spouse - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,461.00,3283,Member + Spouse - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,627.00,3283,Member + Spouse - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,322.00,3285,Member + Spouse - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,364.00,3285,Member + Spouse - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,510.00,3285,Member + Spouse - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,265.00,3286,Member + Spouse - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,320.00,3286,Member + Spouse - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,420.00,3286,Member + Spouse - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,435.00,3288,Member + Children - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,461.00,3288,Member + Children - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,627.00,3288,Member + Children - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,322.00,3290,Member + Children - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,364.00,3290,Member + Children - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,510.00,3290,Member + Children - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,265.00,3291,Member + Children - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,320.00,3291,Member + Children - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,420.00,3291,Member + Children - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,662.00,3293,Member + Family - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,672.00,3293,Member + Family - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,895.00,3293,Member + Family - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,537.00,3295,Member + Family - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,550.00,3295,Member + Family - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,716.00,3295,Member + Family - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,422.00,3296,Member + Family - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,480.00,3296,Member + Family - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42464,CARE PLUS,Product,620.00,3296,Member + Family - $5000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Tobacco Use,50.00,,,1,Monthly,,1,,,Yes,,,Default,,,,,Yes,,,,,,No,,,No,,,,,
42465,DIRECT ,Enrollment,100.00,,,7,One-Time,1,,,100.00,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Annual Membership,25.00,9493,$25 Annual Membership Fee,5,Annual,"1, 13, 25, 37, 49, 61, 73, 85, 97",,,,Yes,,,Default,,,,,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Product,295.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Product,300.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Product,386.00,3281,Member Only - $1000 IUA,1,Monthly,,1,,,Yes,,,Default,,,50,64,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Product,230.00,3279,Member Only - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,18,29,No,,,,,,No,,,No,,,,,
42465,DIRECT ,Product,280.00,3279,Member Only - $2500 IUA,1,Monthly,,1,,,Yes,,,Default,,,30,49,No,,,,,,No,,,No,,,,,
